#Starting log sesion 12:33:56:950
%Timestamp;eventsData
12:33:56:955;Experiment Started;
12:33:57:803;1;typeI3;ball;0;1;
12:34:02:468;SetupFinished;
12:34:02:468;occluderUp;
12:34:03:469;movingContainer;
12:34:04:976;objGrabbed;1;stim_right;
12:34:05:997;RightGrabbed;
12:34:07:684;InterruptionQuestion
12:34:09:033;1;
12:34:10:538;2;typeA;ball;0;0;
12:34:15:248;SetupFinished;
12:34:15:248;movingContainer;
12:34:16:751;objGrabbed;0;stim_left;
12:34:17:805;LeftGrabbed;
12:34:19:472;occluderUp;
12:34:20:473;Repositioning
12:34:25:002;EndAppear;0;12:34:25:002;
12:34:28:642;AskingSortingQuestion
12:34:29:981;answerGood
12:34:32:368;3;typeC;ball;0;1;
12:34:36:950;SetupFinished;
12:34:36:950;occluderUp;
12:34:37:950;movingContainer;
12:34:39:462;objGrabbed;0;stim_left;
12:34:40:494;LeftGrabbed;
12:34:42:182;InferenceStarting
12:34:42:183;occluderDown;
12:34:45:187;RunFromScr;
12:34:46:098;After_RunFromScr;;1;
12:34:46:100;InferenceEnding
12:34:46:100;OutcomeStarting
12:34:48:107;OutcomeEnding
12:34:48:107;AskingSortingQuestion
12:34:50:493;answerBad
12:34:52:018;4;typeC;bearSprite;4;0;
12:34:56:649;SetupFinished;
12:34:56:649;occluderUp;
12:34:57:658;movingContainer;
12:34:59:167;objGrabbed;0;stim_left;
12:35:00:187;LeftGrabbed;
12:35:01:874;InferenceStarting
12:35:01:874;occluderDown;
12:35:04:879;RunFromScr;
12:35:05:797;After_RunFromScr;;0;
12:35:05:802;InferenceEnding
12:35:05:802;OutcomeStarting
12:35:07:800;OutcomeEnding
12:35:07:800;AskingSortingQuestion
closing session;80866
