#Starting log sesion 08:45:16:968
%Timestamp;streamData
1434998716984.33;;
1434998716989.91;;
1434998717070.5;;
1434998717182.56;;
1434998717200.13;;
1434998717215.86;;
1434998717246.85;;
1434998717278.54;;
1434998717310.34;;
1434998717346.56;;
1434998717378.54;;
1434998717410.53;;
1434998717427.3;;
1434998717443.71;;
1434998717460.31;;
1434998717477;;
1434998717493.68;;
1434998717510.26;;
1434998717526.86;;
1434998717543.11;;
1434998717559.64;;
1434998717578.9;;
1434998717595.55;;
1434998717612.19;;
1434998717628.62;;
1434998717645.46;;
1434998717662.01;;
1434998717678.75;;
1434998717694.91;;
1434998717711.57;;
1434998717728.08;;
1434998717744.82;;
1434998717761.9;;
1434998717778.09;;
1434998717794.72;;
1434998717811.4;;
1434998717827.33;;
1434998717844.1;;
1434998717862.69;;
1434998717879.92;;
1434998717896.77;;
1434998717912.87;;
1434998717929.15;;
1434998717945.92;;
1434998717962.53;;
1434998717979.2;;
1434998717995.64;;
1434998718014.54;;
1434998718031.59;;
1434998718048.15;;
1434998718064.88;;
1434998718081.53;;
1434998718098.19;;
1434998718114.28;;
1434998718130.93;;
1434998718147.48;;
1434998718164.24;;
1434998718180.87;;
1434998718197.18;;
1434998718213.66;;
1434998718230.2;;
1434998718246.75;;
1434998718263.27;;
1434998718279.77;;
1434998718296.44;;
1434998718312.87;;
1434998718329.24;;
1434998718345.92;;
1434998718362.57;;
1434998718379.05;;
1434998718396.16;;
1434998718412.16;;
1434998718428.72;;
1434998718445.53;;
1434998718462.07;;
1434998718478.93;;
1434998718494.97;;
1434998718511.56;;
1434998718528.11;;
1434998718544.85;;
1434998718561.34;;
1434998718578.57;;
1434998718595.27;;
1434998718611.91;;
1434998718628.44;;
1434998718645.14;;
1434998718661.84;;
1434998718678.56;;
1434998718695.28;;
1434998718711.88;;
1434998718728.53;;
1434998718746.76;;
1434998718763.37;;
1434998718779.93;;
1434998718796.64;;
1434998718813.39;;
1434998718829.53;;
1434998718846.59;;
1434998718862.75;;
1434998718879.37;;
1434998718896.07;;
1434998718912.64;;
1434998718929.19;;
1434998718945.67;;
1434998718962.57;;
1434998718978.71;;
1434998718995.34;;
1434998719012.04;;
1434998719028.52;;
1434998719045.23;;
1434998719062.59;;
1434998719079.32;;
1434998719095.92;;
1434998719112.69;;
1434998719129.08;;
1434998719146.55;;
1434998719163.41;;
1434998719180;;
1434998719196.45;;
1434998719213.21;;
1434998719230.65;;
1434998719247.22;;
1434998719263.92;;
1434998719282.78;;
1434998719299.89;;
1434998719316.32;;
1434998719333.14;;
1434998719349.85;;
1434998719365.84;;
1434998719382.61;;
1434998719398.84;;
1434998719415.26;;
1434998719454.27;1;;
1434998719462.42;1;;
1434998719479.15;occluderUp;;
1434998719495.63;occluderUp;;
1434998719526.26;occluderUp;;
1434998719546.67;occluderUp;;
1434998719563.27;occluderUp;;
1434998719610.3;occluderUp;;
1434998719630.6;occluderUp;;
1434998719647.15;occluderUp;;
1434998719663.99;occluderUp;;
1434998719680.53;occluderUp;;
1434998719697.17;occluderUp;;
1434998719713.92;occluderUp;;
1434998719730.56;occluderUp;;
1434998719747.16;occluderUp;;
1434998719763.82;occluderUp;;
1434998719780.53;occluderUp;;
1434998719798.95;occluderUp;;
1434998719816.13;occluderUp;;
1434998719832.31;occluderUp;;
1434998719848.76;occluderUp;;
1434998719866.82;occluderUp;;
1434998719886.69;occluderUp;;
1434998719903.82;occluderUp;;
1434998719919.95;occluderUp;;
1434998719937.11;occluderUp;;
1434998719953.76;occluderUp;;
1434998719969.5;occluderUp;;
1434998719986.31;occluderUp;;
1434998720003.01;occluderUp;;
1434998720019.7;occluderUp;;
1434998720036.14;occluderUp;;
1434998720052.68;occluderUp;;
