#Starting log sesion 11:59:32:561
%Timestamp;streamData
1435053572581.62;;536.6953;5.375;
1435053572796.1;;536.6953;5.375;
1435053572813.25;;536.6953;5.375;
1435053572830.18;;536.6953;5.375;
1435053572845.95;;536.6953;5.375;
1435053572862.78;;536.6953;5.375;
1435053572880.05;;536.6953;5.375;
1435053572895.62;;536.6953;5.375;
1435053572912.15;;536.6953;5.375;
1435053572929.66;;536.6953;5.375;
1435053572946.29;;536.6953;5.375;
1435053572962.81;;536.6953;5.375;
1435053572979.33;;536.6953;5.375;
1435053572995.82;;536.6953;5.375;
1435053573012.59;;536.6953;5.375;
1435053573028.15;;536.6953;5.375;
1435053573044.64;;536.6953;5.375;
1435053573062.24;;536.6953;5.375;
1435053573078.18;;536.6953;5.375;
1435053573095.2;;536.6953;5.375;
1435053573111.86;;536.6953;5.375;
1435053573128.13;;536.6953;5.375;
1435053573144.27;;536.6953;5.375;
1435053573161.57;;536.6953;5.375;
1435053573177.52;;536.6953;5.375;
1435053573194.62;;536.6953;5.375;
1435053573211.27;;536.6953;5.375;
1435053573227.79;;536.6953;5.375;
1435053573243.57;;536.6953;5.375;
1435053573260.91;;536.6953;5.375;
1435053573277.47;;536.6953;5.375;
1435053573294.01;;536.6953;5.375;
1435053573310.18;;536.6953;5.375;
1435053573326.9;;536.6953;5.375;
1435053573343.38;;536.6953;5.375;
1435053573360.32;;536.6953;5.375;
1435053573376.37;;536.6953;5.375;
1435053573392.54;;536.6953;5.375;
1435053573409.88;;536.6953;5.375;
1435053573426.49;;536.6953;5.375;
1435053573443;;536.6953;5.375;
1435053573458.85;;536.6953;5.375;
1435053573476.21;;536.6953;5.375;
1435053573492.51;;536.6953;5.375;
1435053573509.25;;536.6953;5.375;
1435053573525.75;;536.6953;5.375;
1435053573542.25;;536.6953;5.375;
1435053573558.26;;536.6953;5.375;
1435053573575.3;;536.6953;5.375;
1435053573592.01;;536.6953;5.375;
1435053573608.51;;536.6953;5.375;
1435053573625.12;;536.6953;5.375;
