#Starting log sesion 02:26:25:593
%Timestamp;streamData
1434975996362.12;occluderUp;;
1434975996378.71;occluderUp;;
1434975996395.72;occluderUp;;
1434975996412.39;occluderUp;;
1434975996428.89;occluderUp;;
1434975996446.87;occluderUp;;
1434975996462.32;occluderUp;;
1434975996479.56;occluderUp;;
1434975996496.5;occluderUp;;
1434975996512.92;occluderUp;;
1434975996529.66;occluderUp;;
1434975996546.27;occluderUp;;
1434975996563.98;occluderUp;;
1434975996580.47;occluderUp;;
1434975996597.23;occluderUp;;
1434975996613.91;occluderUp;;
1434975996630.64;occluderUp;;
1434975996647.22;occluderUp;;
1434975996663.9;occluderUp;;
1434975996711.58;occluderUp;;
1434975996728.08;occluderUp;;
1434975996744.79;occluderUp;;
1434975996763.46;occluderUp;;
1434975996780.09;occluderUp;;
1434975996796.78;occluderUp;;
1434975996813.4;occluderUp;;
1434975996830.05;occluderUp;;
1434975996847.63;occluderUp;;
1434975996864.85;occluderUp;;
1434975996880.81;occluderUp;;
1434975996897.6;occluderUp;;
1434975996914.05;occluderUp;;
1434975996931.62;occluderUp;;
1434975996948.8;occluderUp;;
1434975996964.94;occluderUp;;
1434975996981.55;occluderUp;;
1434975996998.08;occluderUp;;
1434975997014.73;occluderUp;;
1434975997032.02;occluderUp;;
1434975997048.77;occluderUp;;
1434975997065.31;occluderUp;;
1434975997081.76;occluderUp;;
1434975997098.49;occluderUp;;
1434975997188.02;occluderUp;;
1434975997205.38;occluderUp;;
1434975997227.5;occluderUp;;
1434975997247.58;occluderUp;;
1434975997264.34;occluderUp;;
1434975997280.73;occluderUp;;
1434975997297.58;occluderUp;;
1434975997313.85;occluderUp;;
1434975997330.81;occluderUp;;
1434975997347.57;occluderUp;;
1434975997364.31;occluderUp;;
1434975997380.74;occluderUp;;
1434975997397.51;occluderUp;;
1434975997414.28;occluderUp;;
1434975997431.62;occluderUp;;
1434975997463.25;occluderUp;;
1434975997479.79;occluderUp;;
1434975997496.48;occluderUp;;
1434975997512.99;occluderUp;;
1434975997532.04;occluderUp;;
